candidato_apellido,pregunta_orden,pregunta_texto_ref,valor,justificacion,fuente_url
Bachelet,7,militar en Araucania,2,"[CONFIANZA MEDIA] Discurso pro-dialogo, comision asesora presidencial pueblos indigenas 2016. No militarizacion durante su periodo.",https://prensa.presidencia.cl/comunicado/
Bachelet,8,penas mas duras,3,"[CONFIANZA BAJA] Su gobierno impulso Agenda Corta Antidelincuencia con endurecimiento selectivo. Postura mixta. Escala 3 por ambivalencia.",https://www.bcn.cl/leychile
Bachelet,9,reconocimiento pueblos originarios,4,"[CONFIANZA MEDIA] Creo Ministerio de Pueblos Indigenas (proyecto 2016), Consejo Nacional. Postura pro-reconocimiento sin llegar a plurinacionalidad.",https://prensa.presidencia.cl/comunicado/
Bachelet,10,migrantes regularizados,4,"[CONFIANZA MEDIA] Su gobierno inicio la reforma migratoria (aunque se promulgo bajo Pinera). Enfoque pro-regularizacion. VERIFICAR postura actual como ex-ACNUDH.",https://prensa.presidencia.cl/comunicado/
Bachelet,11,salir Alianza del Pacifico,1,"[CONFIANZA ALTA] Fue impulsora activa de la AP en su primer mandato (2010-2011 rol clave en creacion). Postura fuertemente pro-integracion.",https://prensa.presidencia.cl/comunicado/
Bachelet,12,nueva Constitucion,4,"[CONFIANZA ALTA] Inicio primer proceso constituyente 2015-2018 (Cabildos Ciudadanos). Postura publica pro-nueva Carta.",https://prensa.presidencia.cl/comunicado/
Provoste,1,ingreso minimo universal,3,"[CONFIANZA BAJA] Postura DC centrista, apoyaria subsidios focalizados no universales. No hay declaracion IMU explicita reciente.",https://www.senado.cl/senadores/
Provoste,2,reducir impuestos a empresas,2,"[CONFIANZA MEDIA] Como senadora voto por reforma tributaria de Bachelet. Postura DC pro-recaudacion progresiva.",https://www.senado.cl/proyectos-de-ley
Provoste,3,educacion superior gratuita,4,"[CONFIANZA ALTA] Fue Ministra de Educacion de Bachelet (2006-2008). Impulsora de gratuidad y fortalecimiento educacion publica.",https://prensa.presidencia.cl/comunicado/
Provoste,4,aborto libre hasta 14 semanas,3,"[CONFIANZA MEDIA] Voto FAVOR de las 3 causales siendo senadora. DC dividida en aborto libre. Postura personal probablemente moderada. VERIFICAR.",https://www.senado.cl/proyectos-de-ley
Provoste,5,termoelectricas 2030,3,"[CONFIANZA BAJA] Sin declaracion publica clara sobre horizonte 2030. Postura DC tradicional mas gradual.",https://www.senado.cl/senadores/
Provoste,6,mineria glaciares,2,"[CONFIANZA MEDIA] Voto a favor del proyecto de proteccion de glaciares en la Camara Alta.",https://www.senado.cl/proyectos-de-ley
Provoste,7,militar Araucania,3,"[CONFIANZA BAJA] Postura critica de militarizacion pero acepta medidas de seguridad. Ambivalente. Escala 3.",https://www.senado.cl/senadores/
Provoste,8,penas mas duras,4,"[CONFIANZA BAJA] Postura DC pro-seguridad tradicional. Sin voto nominal claro. VERIFICAR.",https://www.senado.cl/proyectos-de-ley
Provoste,9,reconocimiento pueblos originarios,4,"[CONFIANZA MEDIA] Postura DC pro-reconocimiento. Voto Apruebo 2022 (que incluia plurinacionalidad).",https://www.senado.cl/senadores/
Provoste,10,migrantes regularizados,4,"[CONFIANZA MEDIA] Postura DC pro-DDHH migrantes. Sin voto nominal reciente clave. VERIFICAR.",https://www.senado.cl/senadores/
Provoste,11,salir Alianza del Pacifico,1,"[CONFIANZA BAJA] DC historicamente pro-integracion regional. Sin postura explicita de salida.",https://www.senado.cl/senadores/
Provoste,12,nueva Constitucion,4,"[CONFIANZA MEDIA] Apoyo Apruebo en plebiscito 2022. Postura pro-nueva Carta.",https://www.senado.cl/senadores/
Parisi,1,ingreso minimo universal,2,"[CONFIANZA BAJA] Postura liberal-economica, rechaza subsidios universales pero populismo variable. VERIFICAR programa PDG.",https://partidodelagente.cl/
Parisi,2,reducir impuestos empresas,5,"[CONFIANZA MEDIA] Central en su discurso: baja de impuestos y liberalizacion. Postura economista pro-mercado.",https://partidodelagente.cl/
Parisi,3,educacion superior gratuita,2,"[CONFIANZA BAJA] Postura anti-gratuidad universal pero pro-mayor acceso via credito. Ambivalente. VERIFICAR.",https://partidodelagente.cl/
Parisi,4,aborto libre,3,"[CONFIANZA BAJA] Postura personal ambigua, no ha sido central en su discurso. Escala 3 por falta de info.",https://partidodelagente.cl/
Parisi,5,termoelectricas 2030,2,"[CONFIANZA BAJA] Sin postura publica clara. Su discurso economico probablemente rechaza calendario agresivo. VERIFICAR.",https://partidodelagente.cl/
Parisi,6,mineria glaciares,3,"[CONFIANZA BAJA] Postura pro-inversion mineria pero sin declaracion glaciares especifica. VERIFICAR.",https://partidodelagente.cl/
Parisi,7,militar Araucania,4,"[CONFIANZA BAJA] Discurso pro-orden publico pero no militarista clasico. VERIFICAR.",https://partidodelagente.cl/
Parisi,8,penas mas duras,4,"[CONFIANZA BAJA] Discurso pro-seguridad tipico populismo. VERIFICAR.",https://partidodelagente.cl/
Parisi,9,reconocimiento pueblos originarios,3,"[CONFIANZA BAJA] Sin postura publica clara. VERIFICAR.",https://partidodelagente.cl/
Parisi,10,migrantes regularizados,2,"[CONFIANZA BAJA] Discurso anti-inmigracion irregular tipico populismo. VERIFICAR.",https://partidodelagente.cl/
Parisi,11,salir Alianza Pacifico,3,"[CONFIANZA BAJA] Sin postura publica sobre AP. Escala 3 por ausencia.",https://partidodelagente.cl/
Parisi,12,nueva Constitucion,2,"[CONFIANZA BAJA] Voto Rechazo 2022 asumido. Sin postura clara sobre continuar procesos.",https://partidodelagente.cl/
Sichel,1,ingreso minimo universal,2,"[CONFIANZA BAJA] Como ex Ministro Desarrollo Social propuso subsidios focalizados no universales. VERIFICAR postura actual.",https://sichel.cl/
Sichel,2,reducir impuestos empresas,4,"[CONFIANZA MEDIA] Programa primarias Chile Vamos 2021 apoyaba baja moderada de impuestos. Postura centro-derecha economica.",https://sichel.cl/
Sichel,3,educacion superior gratuita,3,"[CONFIANZA BAJA] Postura mixta, no rechaza gratuidad pero prefiere focalizar. VERIFICAR.",https://sichel.cl/
Sichel,4,aborto libre,2,"[CONFIANZA BAJA] Postura personal conservadora moderada. Sin voto legislativo relevante. VERIFICAR.",https://sichel.cl/
Sichel,5,termoelectricas 2030,3,"[CONFIANZA BAJA] Sin postura publica reciente clara. Su discurso modernizacion podria apoyar. VERIFICAR.",https://sichel.cl/
Sichel,6,mineria glaciares,3,"[CONFIANZA BAJA] Sin postura publica clara. VERIFICAR.",https://sichel.cl/
Sichel,7,militar Araucania,3,"[CONFIANZA BAJA] Postura centro-derecha probablemente favorable a Estado de Excepcion pero no militarizacion permanente. VERIFICAR.",https://sichel.cl/
Sichel,8,penas mas duras,4,"[CONFIANZA BAJA] Postura centro-derecha tradicional pro-seguridad. Sin voto nominal.",https://sichel.cl/
Sichel,9,reconocimiento pueblos originarios,3,"[CONFIANZA BAJA] Postura ambigua. Ex Ministro Desarrollo Social tuvo dialogo con comunidades. VERIFICAR.",https://sichel.cl/
Sichel,10,migrantes regularizados,3,"[CONFIANZA BAJA] Postura pragmatica sin extremos. VERIFICAR.",https://sichel.cl/
Sichel,11,salir Alianza Pacifico,1,"[CONFIANZA BAJA] Centro-derecha pro-integracion. Sin postura explicita.",https://sichel.cl/
Sichel,12,nueva Constitucion,2,"[CONFIANZA BAJA] Voto Rechazo 2022. Postura anti-nuevo proceso probable.",https://sichel.cl/
